"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Модель;"Characteristics:Операционная система";"Characteristics:Материал корпуса";"Characteristics:Количество SIM-карт";"Characteristics:Тип экрана";Characteristics:Диагональ;"Characteristics:Размер изображения";"Characteristics:Число пикселей на дюйм (PPI)";"Characteristics:Соотношение сторон";"Characteristics:Тыловая камера";"Characteristics:Тип корпуса";"Characteristics:Тип дисплея";Characteristics:Яркость;Characteristics:Звук;"Characteristics:Макс. время работы";"Characteristics:Класс водонепроницаемости";"Characteristics:Материал ремешка";Characteristics:Вид;Characteristics:Тип;"Characteristics:Количество микрофонов";"Characteristics:Вес наушника";"Characteristics:Голосовой набор";"Characteristics:Ответить/закончить разговор";"Characteristics:Время работы";Characteristics:Материал;"Characteristics:Активное шумоподавление";Characteristics:Особенности;"Characteristics:Комплект поставки";Characteristics:Спецификации;"Characteristics:Системные требования";Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;"Characteristics:Число пикселей на дюйм";Characteristics:Bluetooth;"Characteristics:Встроенные динамики";"Characteristics:Технология дисплея";"Characteristics:Full HD";Characteristics:Частота;"Characteristics:Количество ядер";"Characteristics:Объем видеопамяти";"Characteristics:Количество Thunderbolt 3 (USB-C)";"Characteristics:Количество USB 3.0";Weight;Length;Width;Height
614171413991;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, Синий, Ростест";;;https://static.tildacdn.com/tild3566-6637-4362-b435-366666373133/iphone_12_blue_0.jpeg;;;;;;XnON3crrpFiGcOhoBOtE;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
605644475491;;0111;;;"Apple iPhone 12, 256 ГБ, Синий, Ростест- Синий- 256- Ростест";;;;78990.00;123;;"Цвет:Синий;Объем памяти:256;Регион поставки:Ростест";;Ze5GRfjmvsRACHSjrD5u;614171413991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
901206832011;;;;"iPhone 12";"Apple iPhone 12, 64 ГБ, Синий, Америка";;;https://static.tildacdn.com/tild3161-6166-4164-a166-633664313336/iphone_12_blue_0.jpeg;;;;;;rKRdFAMV9eOA7mRP565I;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
599532304831;;0117;;;"Apple iPhone 12, 64 ГБ, Синий, Америка- Синий- 64- Америка";;;;59990.00;123;;"Цвет:Синий;Объем памяти:64;Регион поставки:Америка";;pa1sm8OgBmtvlkvVKpcb;901206832011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
709360873391;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, Синий, Америка";;;https://static.tildacdn.com/tild6133-3839-4734-b239-623166306431/iphone_12_blue_0.jpeg;;;;;;mUFIc1zGumnMbs3Ipor6;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
176898860011;;0123;;;"Apple iPhone 12, 128 ГБ, Синий, Америка- Синий- 128- Америка";;;;66990.00;123;;"Цвет:Синий;Объем памяти:128;Регион поставки:Америка";;pOTOmlS7bXt57D4xYkMP;709360873391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
463986495841;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, Синий, Америка";;;https://static.tildacdn.com/tild6230-3761-4165-a166-626533393963/iphone_12_blue_0.jpeg;;;;;;2HimBToAgpZIlPR1iF9f;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
237655921841;;0129;;;"Apple iPhone 12, 256 ГБ, Синий, Америка- Синий- 256- Америка";;;;77990.00;123;;"Цвет:Синий;Объем памяти:256;Регион поставки:Америка";;8ZPgBgXzlAuIXVA1bRPX;463986495841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
738628903051;;;;"iPhone 12";"Apple iPhone 12, 64 ГБ, Черный, Ростест";;;https://static.tildacdn.com/tild3634-3963-4638-b431-613039623362/iphone_12_black_0.jpeg;;;;;;8xBZgojb89nxViBhxhBj;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
992923197601;;0100;;;"Apple iPhone 12, 64 ГБ, Черный, Ростест- Черный- 64- Ростест";;;;62990.00;123;;"Цвет:Черный;Объем памяти:64;Регион поставки:Ростест";;8MJzFPMh6NFYA39hKt1H;738628903051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
